|,emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
,Basil II & Constantine VIII,anonymous1,AE,Follis,1023,1028,Constantinople,null,null,7.93,28.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,41,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,Overstrikes,"Ex. Numismatik-Naumann Auction 62, Lot 894",X3FK,yes
,Basil II & Constantine VIII,anonymous2,AE,Follis,1023,1028,Constantinople,null,null,9.94,28.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,3,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,Ex. Savoca eBay 2018,UBAT,yes
,Basil II & Constantine VIII,anonymous4,AE,Follis,1023,1028,Constantinople,null,null,9.41,28.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,24,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,Ex. Savoca eBay 2018,TCXY,yes
,Basil II & Constantine VIII,anonymous12,AE,Follis,1023,1028,Constantinople,null,null,7.55,25.6mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,24,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,Ex. Savoca eBay 2018,,
,Basil II & Constantine VIII,anonymous6,AE,Follis,1023,1028,Constantinople,null,null,10.24,28.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,32,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,Ex. Savoca eBay 2018,KSR6,yes
,Basil II & Constantine VIII,anonymous15,AE,Follis,1023,1028,Constantinople,null,null,11.33,31.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,32,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,"Ex. Savoca London Blue Auction 1, Lot 1660",,yes
,Basil II & Constantine VIII,anonymous8,AE,Follis,1023,1028,Constantinople,null,null,9.69,28.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,41,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,"Ex. Numismatik-Naumann Auction 64, Lot 830 (part of)",CSZ9,yes
,Basil II & Constantine VIII,anonymous16,AE,Follis,1023,1028,Constantinople,null,null,10.86,30.0mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,45,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,"Ex. Savoca London Blue Auction 1, Lot 1664",,yes
,Basil II & Constantine VIII,anonymous9,AE,Follis,1023,1028,Constantinople,null,null,7.86,27.1mm,6H,+ЄMMANOVHΛ/IC - XC,+IҺSЧS/XRISTЧS/ЬASILЄЧ/ЬASILЄ,A3,47,,Facing bust of Christ Pantokrator,Legend in four lines; decoration above and below,SBCV 1818,Anonymous Folles,,"Ex. Solidus-Numismatik Chance Auction 28, Lot 2439 (part of)",MTQ4,
,Romanos III,anonymous3,AE,Follis,1028,1034,Constantinople,null,null,13.91,31.98mm,6H,+ЄMMANOVHΛ/IC - XC,IS XS/bASILЄ/bASILЄ,,,B,"Nimbate bust of Christ facing, square in each limb of cross; wearing pallium and collobium and holding book of Gospels",Legend in three lines divided by limbs of cross with dot at each extremity on three-stepped base,SBCV 1823,Anonymous Folles,,Ex. Marc R. Breitsprecher 2018,TFHB,yes
,Romanos III,anonymous13,AE,Follis,1028,1034,Constantinople,null,null,14.97,29.00mm,6H,+ЄMMANOVHΛ/IC - XC,IS XS/bASILЄ/bASILЄ,,,B,"Nimbate bust of Christ facing, square in each limb of cross; wearing pallium and collobium and holding book of Gospels",Legend in three lines divided by limbs of cross with dot at each extremity on three-stepped base,SBCV 1823,Anonymous Folles,,"Ex. CNG Auction 430, Lot 433; Ex. Anthony DiDonato Collection",,yes
,Romanos III,anonymous14,AE,Follis,1028,1034,Constantinople,null,null,10.87,32.50mm,6H,+ЄMMANOVHΛ/IC - XC,IS XS/bASILЄ/bASILЄ,,,B,"Nimbate bust of Christ facing, square in each limb of cross; wearing pallium and collobium and holding book of Gospels",Legend in three lines divided by limbs of cross with dot at each extremity on three-stepped base,SBCV 1823,Anonymous Folles,Overstrikes,Ex. Cody111111 eBay 2018,,yes
,Constantine X Ducas,constantinex1,AE,Follis,1059,1067,Constantinople,null,null,11.10,29.8mm,6H,[+ЄMMANOVHΛ/IC - XC],[+KWNT ΔK] ЄV[ΔK AVΓO],,,-,"Christ standing facing on footstool, wearing nimbus and holding Gospels","Eudocia on left, wearing loros with kite-shaped lower panel and crown with cross and pendilia, Constantine on right, wearing loros and crown with cross and pendilia, both standing facing, holding labarum with cross-piece on shaft between them, standing on base and three steps, each places one hand on heart",SBCV 1853,Overstrikes,,Ex. Augustus Coins (Valentinian) 2018,D47K,yes
,Alexius I Comnenus,alexiusi1,BI,Aspron Trachy,1092,1118,Constantinople,null,null,5.05,28.0mm,6H,IC-XC,ALEZIW ΔECΠT-TWKOMNN,,,null,"Bust of Christ, nimbate, seated facing, holding book of Gospels","Crowned bust of Alexius facing, wearing jewelled chlamys, holding cross-tipped sceptre and cross on globe",SBCV 1918,,,"Ex. Solidus Numismatik Online Auction 23, Lot 768",4XFE,yes
,John II Comnenus,johnii1,AE,Half Tetarteron,1118,1143,Thessaloniki,null,null,2.72,17.0mm,6H,IC-XC,IW DECPOT,,,null,"Christ nimbate, standing facing on footstool, wearing pallium and colobium, holding book of gospels, both hands at front","Crowned bust of John facing, wearing jewelled chlamys, holding labarum and cross on globe",SBCV 1954,,,Ex. Rudnik Numismatics 2019,,yes
,Manuel I Comnenus,manueli1,BI,Aspron Trachy,1167,1180,Constantinople,null,null,4.34,30.0mm,6H,IC-XC,MANYHΛ ΔECΠOT,,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand. Star in right field","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",ZSX9,yes
,Manuel I Comnenus,manueli2,BI,Aspron Trachy,1152,1160,Constantinople,null,null,4.13,32.0mm,6H,MP-ΘV,MANYHΛ ΔECΠOTHC,,,null,"The Virgin enthroned facing, nimbate, wearing pallium and maphorium, holding nimbate head of infant Jesus in lap","Manuel standing facing wearing divitision and chlamys, bearded and crowned, holding labarum and cross on globe",SBCV 1965,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",AJM7,yes
,Manuel I Comnenus,manueli3,BI,Aspron Trachy,1167,1180,Constantinople,null,null,2.85,26.0mm,6H,IC-XC,MAN[YHΛ ΔECΠOT],,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand. Star in right field","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",9FYY,yes
,Manuel I Comnenus,manueli4,BI,Aspron Trachy,1152,1160,Constantinople,null,null,4.50,29.0mm,6H,MP-ΘV,MANYHΛ ΔECΠOTHC,,,null,"The Virgin enthroned facing, nimbate, wearing pallium and maphorium, holding nimbate head of infant Jesus in lap","Manuel standing facing wearing divitision and chlamys, bearded and crowned, holding labarum and cross on globe",SBCV 1965,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",MLYN,yes
,Manuel I Comnenus,manueli5,BI,Aspron Trachy,1167,1180,Constantinople,null,null,3.85,30.0mm,6H,IC-XC,MANYHΛ ΔECΠOT,,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",MGMA,yes
,Manuel I Comnenus,manueli6,BI,Aspron Trachy,1167,1180,Constantinople,null,null,3.23,27.0mm,6H,IC-XC,MANYHΛ ΔECΠOT,,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand. Star in both fields","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",V2HR,yes
,Manuel I Comnenus,manueli7,BI,Aspron Trachy,1152,1160,Constantinople,null,null,3.90,30.0mm,6H,MP-ΘV,MANYHΛ ΔECΠOTHC,,,null,"The Virgin enthroned facing, nimbate, wearing pallium and maphorium, holding nimbate head of infant Jesus in lap","Manuel standing facing wearing divitision and chlamys, bearded and crowned, holding labarum and cross on globe",SBCV 1965,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",HW5U,yes
,Manuel I Comnenus,manueli8,BI,Aspron Trachy,1167,1180,Constantinople,null,null,3.23,27.0mm,6H,IC-XC,MANYHΛ ΔECΠOT,,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand. Star in both fields","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",4WGF,yes
,Manuel I Comnenus,manueli9,BI,Aspron Trachy,1167,1180,Constantinople,null,null,3.23,27.0mm,6H,IC-XC,MANYHΛ ΔECΠOT,,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand. Star in both fields","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",SK9Z,yes
,Manuel I Comnenus,manueli10,BI,Aspron Trachy,1167,1180,Constantinople,null,null,3.23,27.0mm,6H,IC-XC,MANYHΛ ΔECΠOT,,,null,"Christ, bearded, seated facing on throne without back, wearing nimbus crown, pallium and colobium, book of gospels in left hand. Star in both fields","Manuel standing facing, holding labarum and globus cruciger, being crowned by the Virgin Mary to right",SBCV 1966,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",UEM2,yes
,Manuel I Comnenus,manueli12,BI,Aspron Trachy,1152,1160,Constantinople,null,null,4.34,32.0mm,6H,MP-ΘV,MANYHΛ ΔECΠOTHC,,,null,"The Virgin enthroned facing, nimbate, wearing pallium and maphorium, holding nimbate head of infant Jesus in lap","Manuel standing facing wearing divitision and chlamys, bearded and crowned, holding labarum and cross on globe",SBCV 1965,,,"Ex. Solidus Numismatik Chance Auction 28, Lot 2450 (Part of)",2VSG,yes
,Andronicus I Comnenus,andronicusi1,BI,Aspron Trachy,1183,1185,Constantinople,null,null,3.74,29.0mm,6H,MP-ΘV,ANΔPONIKOC ΔЄCΠOTHC / IC - XC,,,null,"The Virgin Mary standing facing on dais, holding bust of Holy Infant on breast","Andronicus standing facing, holding akakia and globus cruciger, and being crowned by Christ to right",SBCV 1985,,,"Ex. Numismatik-Naumann Auctionm 62, Lot 906",DMHA,yes
,Isaac II Angelus,isaacii1,BI,Aspron Trachy,1185,1190,Constantinople,null,null,4.38,27.0mm,6H,ΜΡ-ΘV,I/CAA/KI/OC ΔЄC,,,null,"Mary, nimbate, seated facing, holding before her the nimbate head of infant Christ facing left","Isaac, standing facing on the left, crowned, wearing divitision, loros and sagion, and holding cross-headed sceptre and akakia, crowned by hand of God in upper right field",SBCV 2003,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",FPUW,yes
,Isaac II Angelus,isaacii2,BI,Aspron Trachy,1185,1190,Constantinople,null,null,5.02,29.0mm,6H,ΜΡ-ΘV,[I/CAA/KI/OC] ΔЄC,,,null,"Mary, nimbate, seated facing, holding before her the nimbate head of infant Christ facing left","Isaac, standing facing on the left, crowned, wearing divitision, loros and sagion, and holding cross-headed sceptre and akakia, crowned by hand of God in upper right field",SBCV 2003,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",C4NK,yes
,Isaac II Angelus,isaacii3,BI,Aspron Trachy,1185,1190,Constantinople,null,null,4.26,28.0mm,6H,ΜΡ-ΘV,[I/CAA/KI/OC] ΔЄC/ΠO/T/HC,,,null,"Mary, nimbate, seated facing, holding before her the nimbate head of infant Christ facing left","Isaac, standing facing on the left, crowned, wearing divitision, loros and sagion, and holding cross-headed sceptre and akakia, crowned by hand of God in upper right field",SBCV 2003,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",V2JD,yes
,Isaac II Angelus,isaacii4,BI,Aspron Trachy,1185,1190,Constantinople,null,null,4.05,25.0mm,6H,ΜΡ-ΘV,[I/CAA/KI/OC] ΔЄC/Π/O/T/H/C,,,null,"Mary, nimbate, seated facing, holding before her the nimbate head of infant Christ facing left","Isaac, standing facing on the left, crowned, wearing divitision, loros and sagion, and holding cross-headed sceptre and akakia, crowned by hand of God in upper right field",SBCV 2003,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",6A4K,yes
,Isaac II Angelus,isaacii5,BI,Aspron Trachy,1185,1190,Constantinople,null,null,3.37,27.8.0mm,6H,ΜΡ-ΘV,[I/CAA/KI/OC] ΔЄC/Π/O/T/H/C,,,null,"Mary, nimbate, seated facing, holding before her the nimbate head of infant Christ facing left","Isaac, standing facing on the left, crowned, wearing divitision, loros and sagion, and holding cross-headed sceptre and akakia, crowned by hand of God in upper right field",SBCV 2003,,,"Ex. Solidus Numismatik Chance Auction 28, Lot 2450 (Part of)",M8D4,
,Alexius III Angelos,alexiusiii1,BI,Aspron Trachy,1195,1197,Constantinople,null,null,1.87,26.1mm,6H,IC-XC,[AΛЄΞIOC DECP O KWNTANTI],,,null,"Christ, nimbate, bust facing, right hand raised, holding scroll in left","Alexius, crowned, wearing loros, on left, holding labarum, St. Constantine, nimbate, wearing loros, bearded, on right, holding labarum and holding cross on globe between them",SBCV 2011,,,"Ex. CNG Coins Auction 418, Lot 517",M3AQ,yes
,Alexius III Angelos,alexiusiii2,BI,Aspron Trachy,1195,1197,Constantinople,null,null,4.31,30.0mm,6H,KЄPO H ΘЄI/IC-XC,[AΛЄΞIOC DECP O KWNTANTI],,,null,"Bust of Christ facing, beardless, raising right hand in benediction","Alexius, left, and St. Constantine, right, standing facing, holding between them globus cruciger",SBCV 2012,,,"Ex. Gert Boersema, April 2018",BNLA,yes
,John III Ducas,johniii1,AE,Tetarteron,1222,1254,Magnesia,null,null,2.10,20.0mm,6H,-,-,,,null,"John, half length figure, standing facing, holding sceptre and patriarchal cross on globe",Cross within crescent,SBCV 2117,,,"Ex. Numismatik-Naumann Auction 65, Lot 835",,
,Latin Occupation of Constantinople,latin1,BI,Trachy,1204,1261,Constantinople,null,null,3.65,26.0mm,6H,IC-XC,X/A-X/M,,,null,"Bust of Christ facing, beardless, raising right hand in benediction","Archangel Michael standing facing, holding cross on globe",SBCV 2036,,,"Ex. Gert Boersema, April 2018",XFPS,yes
